contract_symbol,last_trade_date,strike,last_price,bid,ask,change,percent_change,volume,open_interest,implied_volatility,in_the_money,contract_size,currency,expiration,type,date_pulled
AAPL251010P00215000,2025-10-06 18:47:14+00:00,215.0,0.02,0.01,0.02,0.0,0.0,21.0,1157,0.5546919531250001,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00217500,2025-10-06 18:33:09+00:00,217.5,0.02,0.01,0.02,-0.01,-33.333336,50.0,1151,0.523442265625,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00220000,2025-10-06 18:49:47+00:00,220.0,0.02,0.01,0.02,0.0,0.0,240.0,6206,0.507817421875,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00222500,2025-10-06 16:23:50+00:00,222.5,0.02,0.01,0.02,-0.01,-33.333336,71.0,468,0.4726615234375,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00225000,2025-10-06 19:38:51+00:00,225.0,0.02,0.02,0.03,-0.02,-50.0,163.0,2724,0.46094289062500005,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00227500,2025-10-06 18:38:43+00:00,227.5,0.02,0.02,0.03,-0.030000001,-60.0,27.0,441,0.42578699218750005,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00230000,2025-10-06 19:54:50+00:00,230.0,0.03,0.03,0.04,-0.01,-25.0,461.0,2798,0.40430283203125,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00232500,2025-10-06 19:21:39+00:00,232.5,0.04,0.04,0.05,-0.010000002,-20.000002,1193.0,1292,0.38086556640624997,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00235000,2025-10-06 19:28:34+00:00,235.0,0.07,0.05,0.06,0.010000002,16.66667,2023.0,2865,0.35352208984374994,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00237500,2025-10-06 19:55:14+00:00,237.5,0.07,0.07,0.08,-0.07,-50.0,1081.0,1470,0.331061376953125,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00240000,2025-10-06 19:56:03+00:00,240.0,0.11,0.1,0.12,-0.009999998,-8.333331,3972.0,3702,0.313483427734375,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00242500,2025-10-06 19:56:22+00:00,242.5,0.17,0.16,0.17,-0.010000005,-5.555558,5217.0,3161,0.2919992675781249,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00245000,2025-10-06 19:59:51+00:00,245.0,0.27,0.27,0.28,0.0,0.0,7817.0,6003,0.278327529296875,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00247500,2025-10-06 19:58:48+00:00,247.5,0.44,0.44,0.46,0.00999999,2.3255792,7912.0,5382,0.26489992919921873,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00250000,2025-10-06 19:59:46+00:00,250.0,0.75,0.73,0.75,0.050000012,7.1428585,26142.0,11758,0.2512281909179687,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00252500,2025-10-06 19:59:48+00:00,252.5,1.23,1.21,1.24,0.110000014,9.82143,11333.0,7365,0.2406081799316406,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00255000,2025-10-06 19:59:52+00:00,255.0,1.97,1.96,2.0,0.23000002,13.218391,28929.0,12106,0.23133092895507812,False,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00257500,2025-10-06 19:59:27+00:00,257.5,3.09,3.05,3.15,0.42999983,16.165407,14761.0,4926,0.22705851074218747,True,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00260000,2025-10-06 19:57:33+00:00,260.0,4.5,4.6,4.7,0.5,12.5,2903.0,2278,0.22657023437499998,True,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00262500,2025-10-06 19:59:40+00:00,262.5,6.5,6.45,6.6,0.5,8.333333,442.0,1787,0.229499892578125,True,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00265000,2025-10-06 18:01:09+00:00,265.0,8.45,8.55,8.75,0.8499999,11.18421,910.0,679,0.23535920898437498,True,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00267500,2025-10-06 18:13:47+00:00,267.5,10.9,10.85,11.15,1.0199995,10.323882,32.0,62,0.26367923828125,True,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00270000,2025-10-06 16:14:45+00:00,270.0,13.77,13.25,13.7,1.3000002,10.425021,145.0,226,0.317389638671875,True,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00272500,2025-10-06 17:38:59+00:00,272.5,16.11,15.55,16.3,1.5100002,10.342467,4.0,7,0.3806214282226562,True,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00275000,2025-10-06 17:02:54+00:00,275.0,17.7,18.05,18.7,0.75,4.4247785,10.0,24,0.40039662109375,True,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00280000,2025-10-03 19:00:32+00:00,280.0,21.6,23.0,23.6,0.0,0.0,25.0,2,0.4497125341796875,True,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00290000,2025-09-29 15:48:41+00:00,290.0,36.46,33.05,33.85,0.0,0.0,2.0,0,0.5205126074218749,True,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00295000,2025-09-24 19:57:31+00:00,295.0,42.75,38.05,38.6,0.0,0.0,2.0,0,0.6552768847656252,True,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00300000,2025-10-06 19:45:40+00:00,300.0,43.1,42.8,43.85,-3.5800018,-7.6692414,5.0,0,0.8071308349609375,True,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00310000,2025-09-26 13:31:41+00:00,310.0,55.7,53.05,53.55,0.0,0.0,3.0,0,0.81445498046875,True,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00315000,2025-10-03 13:36:19+00:00,315.0,57.95,58.05,58.85,0.0,0.0,1.0,0,0.804689453125,True,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251010P00320000,2025-10-06 17:11:45+00:00,320.0,63.05,62.75,63.75,2.0499992,3.3606546,6.0,1,1.0229541040039063,True,REGULAR,USD,2025-10-10,P,2025-10-06
AAPL251017C00090000,2025-10-01 15:14:45+00:00,90.0,165.75,166.55,167.1,0.0,0.0,2.0,23,2.3320354199218745,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00095000,2025-09-22 18:27:13+00:00,95.0,160.4,161.5,162.15,0.0,0.0,,2,2.2187544531249994,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00100000,2025-09-19 19:06:44+00:00,100.0,146.12,156.6,157.1,0.0,0.0,5.0,20,2.1523483691406247,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00105000,2025-07-21 14:02:53+00:00,105.0,110.26,149.7,151.65,0.0,0.0,2.0,14,1.0000000000000003e-05,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00110000,2025-09-12 13:59:04+00:00,110.0,121.0,146.15,147.15,0.0,0.0,345.0,462,2.2460981347656244,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00115000,2025-08-20 19:50:00+00:00,115.0,112.7,139.7,141.45,0.0,0.0,1.0,99,1.0000000000000003e-05,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00120000,2025-07-16 13:52:22+00:00,120.0,91.56,134.75,136.7,0.0,0.0,1.0,67,1.3437532812499997,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00125000,2025-09-16 13:52:04+00:00,125.0,114.66,131.65,132.2,0.0,0.0,3.0,19,1.7578137109375,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00130000,2025-09-23 19:53:48+00:00,130.0,124.4,126.15,127.4,0.0,0.0,10.0,164,1.4765651171875,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00135000,2025-10-06 19:47:23+00:00,135.0,122.28,121.1,122.15,3.2799988,2.7563014,1.0,73,1.7470715771484375,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00140000,2025-09-29 16:31:45+00:00,140.0,117.6,116.7,117.15,3.2999954,2.887135,1.0,82,1.50390873046875,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00145000,2025-09-29 13:32:58+00:00,145.0,109.53,111.05,112.05,0.0,0.0,1.0,178,1.5146508642578125,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00150000,2025-10-03 19:47:36+00:00,150.0,108.65,106.8,107.1,0.73999786,0.68575466,3.0,718,1.3671906640625,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00155000,2025-10-03 18:35:47+00:00,155.0,103.37,101.6,102.05,0.0,0.0,2.0,176,1.18359783203125,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00160000,2025-10-06 15:45:20+00:00,160.0,97.5,96.0,97.5,-0.26999664,-0.2761549,1.0,299,1.015629921875,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00165000,2025-10-02 14:08:02+00:00,165.0,91.25,91.8,92.2,0.0,0.0,2.0,234,1.1787150439453122,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00170000,2025-10-06 16:03:02+00:00,170.0,87.4,86.1,87.55,0.91999817,1.0638276,17.0,655,0.9863282617187501,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00175000,2025-10-03 15:39:30+00:00,175.0,84.25,81.75,82.1,0.0,0.0,11.0,1033,0.9970703417968749,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00180000,2025-10-06 18:26:39+00:00,180.0,76.5,76.85,77.15,-2.8499985,-3.5916805,7.0,1747,0.9726565234375,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00185000,2025-10-06 17:38:19+00:00,185.0,71.81,71.75,72.1,-1.4599991,-1.9926288,6.0,650,0.86914193359375,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00190000,2025-10-06 13:30:04+00:00,190.0,68.08,66.75,68.1,0.08000183,0.11764975,2.0,1396,0.9819337744140625,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00195000,2025-10-06 18:42:33+00:00,195.0,61.85,61.8,62.15,-2.0,-3.1323414,44.0,1879,0.7685570019531252,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00200000,2025-10-06 17:16:15+00:00,200.0,56.67,56.9,57.2,-1.25,-2.1581492,13.0,2965,0.735354208984375,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00205000,2025-10-06 16:27:47+00:00,205.0,52.26,51.8,52.15,-1.0900002,-2.0431118,6115.0,11049,0.6469761865234375,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00210000,2025-10-06 19:27:02+00:00,210.0,46.85,46.85,47.2,-1.6500015,-3.402065,142.0,20330,0.6044961425781252,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00215000,2025-10-06 18:44:09+00:00,215.0,42.46,41.95,42.2,-0.8500023,-1.9626005,103.0,13104,0.5585981640625001,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00217500,2025-10-06 19:57:11+00:00,217.5,39.85,39.0,39.9,-1.2300034,-2.994166,2.0,46,0.5991251025390626,True,REGULAR,USD,2025-10-17,C,2025-10-06
AAPL251017C00220000,2025-10-06 19:58:44+00:00,220.0,37.1,37.0,37.45,-1.0,-2.624672,355.0,13488,0.532231240234375,True,REGULAR,USD,2025-10-17,C,2025-10-06
